product_id,product_name,category,sub_category,total_sales,total_profit,avg_discount_pct,line_items
FUR-TA-10003715,Hon 2111 Invitation Series Corner Table,Furniture,Tables,3140.55,-401.99,20.0,4
FUR-TA-10002530,"Iceberg OfficeWorks 42"" Round Tables",Furniture,Tables,3457.44,-392.55,20.0,7
TEC-PH-10002645,LG G2,Technology,Phones,1499.97,-374.99,40.0,1
FUR-TA-10003469,Balt Split Level Computer Training Table,Furniture,Tables,1040.63,-357.97,38.0,5
FUR-FU-10003601,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Furniture,Furnishings,1623.25,-343.1,26.67,6
TEC-PH-10000038,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,Technology,Phones,2027.3,-339.71,16.0,5
OFF-ST-10001809,Fellowes Officeware Wire Shelving,Office Supplies,Storage,4509.47,-332.37,7.27,11
FUR-TA-10003008,"Lesro Round Back Collection Coffee Table, End Table",Furniture,Tables,2847.78,-328.59,28.75,8
FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Furniture,Tables,12995.29,-327.23,24.58,12
OFF-AP-10000390,Euro Pro Shark Stick Mini Vacuum,Office Supplies,Appliances,170.74,-325.63,60.0,3
TEC-MA-10000904,"Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner",Technology,Machines,341.99,-319.19,70.0,1
FUR-TA-10002645,Hon Rectangular Conference Tables,Furniture,Tables,3481.51,-295.81,32.5,4
FUR-BO-10002268,Sauder Barrister Bookcases,Furniture,Bookcases,754.73,-294.77,40.67,3
FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Furniture,Bookcases,1646.92,-285.95,24.75,4
TEC-MA-10001856,Okidata C610n Printer,Technology,Machines,649.0,-272.58,50.0,1
FUR-FU-10004904,"Eldon ""L"" Workstation Diamond Chairmat",Furniture,Furnishings,1002.94,-267.45,30.0,4
OFF-SU-10000151,High Speed Automatic Electric Letter Opener,Office Supplies,Supplies,17030.31,-262.0,6.67,3
FUR-FU-10002918,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furniture,Furnishings,1200.94,-256.56,16.0,5
TEC-MA-10003353,Xerox WorkCentre 6505DN Laser Multifunction Printer,Technology,Machines,2519.96,-252.0,40.0,1
TEC-MA-10003337,Okidata B401 Printer,Technology,Machines,179.99,-251.99,70.0,1
FUR-CH-10004860,Global Low Back Tilter Chair,Furniture,Chairs,1746.95,-246.39,18.75,8
OFF-BI-10004632,GBC Binding covers,Office Supplies,Binders,5535.59,-246.07,35.0,14
OFF-BI-10004224,Catalog Binders with Expanding Posts,Office Supplies,Binders,1089.94,-242.21,51.25,8
FUR-TA-10004575,Hon 5100 Series Wood Tables,Furniture,Tables,5965.09,-238.6,21.43,7
FUR-CH-10001973,Office Star Flex Back Scooter Chair with White Frame,Furniture,Chairs,1775.68,-228.62,21.43,7
FUR-TA-10001039,KI Adjustable-Height Table,Furniture,Tables,2764.26,-226.13,22.27,11
FUR-FU-10002116,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Furniture,Furnishings,763.67,-222.74,24.0,5
OFF-ST-10004123,Safco Industrial Wire Shelving System,Office Supplies,Storage,2511.05,-218.35,10.0,8
FUR-CH-10003396,Global Deluxe Steno Chair,Furniture,Chairs,1770.54,-216.31,21.0,10
FUR-TA-10001857,Balt Solid Wood Rectangular Table,Furniture,Tables,828.1,-216.25,26.25,4
TEC-PH-10002789,LG Exalt,Technology,Phones,1154.33,-212.15,33.33,3
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,Bookcases,3626.01,-208.65,23.38,8
FUR-TA-10002774,Laminate Occasional Tables,Furniture,Tables,2096.17,-206.53,23.33,3
OFF-BI-10002429,"Premier Elliptical Ring Binder, Black",Office Supplies,Binders,526.61,-201.51,64.44,9
FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,Chairs,4770.63,-197.58,16.67,9
FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",Furniture,Tables,4544.93,-192.19,26.0,5
FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,Furniture,Bookcases,1474.31,-191.86,25.0,4
FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Furniture,Bookcases,90.88,-190.85,70.0,1
FUR-TA-10001095,Chromcraft Round Conference Tables,Furniture,Tables,8209.06,-189.98,25.77,13
OFF-ST-10004804,"Belkin 19"" Vented Equipment Shelf, Black",Office Supplies,Storage,1400.26,-179.67,12.0,10
FUR-TA-10004175,"Hon 30"" x 60"" Table with Locking Drawer",Furniture,Tables,1296.03,-177.35,33.33,3
OFF-AP-10004233,Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,Office Supplies,Appliances,299.21,-177.22,45.0,2
FUR-FU-10002298,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Furniture,Furnishings,2064.23,-173.13,20.0,5
OFF-ST-10001522,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Office Supplies,Storage,2299.75,-172.94,12.0,10
TEC-MA-10004521,Epson Perfection V600 Photo Scanner,Technology,Machines,206.99,-172.49,70.0,1
FUR-BO-10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,Furniture,Bookcases,2904.16,-170.83,20.0,4
OFF-ST-10001097,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Office Supplies,Storage,3178.13,-167.27,4.0,5
FUR-CH-10000225,"Global Geo Office Task Chair, Gray",Furniture,Chairs,1757.27,-166.01,17.14,7
TEC-MA-10003589,Cisco 8961 IP Phone Charcoal,Technology,Machines,224.94,-164.95,70.0,1
FUR-TA-10004534,Bevis 44 x 96 Conference Tables,Furniture,Tables,3253.22,-164.72,18.0,5
FUR-CH-10002044,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Furniture,Chairs,694.19,-158.49,25.0,2
FUR-CH-10001190,Global Deluxe High-Back Office Chair in Storm,Furniture,Chairs,1087.92,-149.59,20.0,3
FUR-TA-10001676,Hon 61000 Series Interactive Training Tables,Furniture,Tables,653.12,-148.4,31.11,9
FUR-TA-10002622,"Bush Andora Conference Table, Maple/Graphite Gray Finish",Furniture,Tables,1436.23,-143.62,30.0,4
FUR-CH-10003956,Novimex High-Tech Fabric Mesh Task Chair,Furniture,Chairs,922.74,-133.44,15.0,4
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,723.84,-133.11,18.33,6
FUR-CH-10003833,Novimex Fabric Task Chair,Furniture,Chairs,1890.38,-131.11,18.89,9
FUR-CH-10001482,Office Star - Mesh Screen back chair with Vinyl seat,Furniture,Chairs,2200.46,-130.98,14.29,7
FUR-FU-10000193,Tenex Chairmats For Use with Hard Floors,Furniture,Furnishings,467.71,-129.92,26.67,6
OFF-ST-10003656,Safco Industrial Wire Shelving,Office Supplies,Storage,1363.06,-126.71,16.0,5
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,5184.08,-126.44,26.67,6
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,Bookcases,935.2,-125.74,26.33,3
FUR-FU-10000723,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Furniture,Furnishings,1115.64,-125.2,17.78,9
OFF-ST-10001418,Carina Media Storage Towers in Natural & Black,Office Supplies,Storage,1073.25,-121.96,12.0,5
OFF-AP-10000055,Belkin F9S820V06 8 Outlet Surge,Office Supplies,Appliances,266.34,-120.18,40.0,4
TEC-PH-10003580,Cisco IP Phone 7961G-GE VoIP phone,Technology,Phones,2252.43,-119.12,35.0,4
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",Furniture,Bookcases,825.17,-117.88,30.0,1
FUR-TA-10004607,Hon 2111 Invitation Series Straight Table,Furniture,Tables,2040.05,-115.31,27.14,7
FUR-CH-10001714,"Global Leather & Oak Executive Chair, Burgundy",Furniture,Chairs,1689.97,-114.68,18.0,5
OFF-AP-10001947,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,Office Supplies,Appliances,289.46,-113.77,40.0,6
FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Furniture,Bookcases,400.03,-113.26,51.0,2
FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings,1304.13,-111.33,16.0,5
OFF-ST-10002344,"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,Storage,1635.8,-110.13,10.0,8
OFF-ST-10002554,Tennsco Industrial Shelving,Office Supplies,Storage,1281.44,-108.58,11.11,9
FUR-TA-10004152,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",Furniture,Tables,1088.64,-104.83,32.0,5
OFF-ST-10002790,Safco Industrial Shelving,Office Supplies,Storage,827.12,-104.13,12.0,5
FUR-BO-10003893,Sauder Camden County Collection Library,Furniture,Bookcases,1368.26,-103.48,23.5,2
OFF-BI-10001098,Acco D-Ring Binder w/DublLock,Office Supplies,Binders,235.18,-102.84,62.22,9
FUR-BO-10003450,"Bush Westfield Collection Bookcases, Dark Cherry Finish",Furniture,Bookcases,649.38,-97.41,23.33,3
TEC-PH-10003555,Motorola HK250 Universal Bluetooth Headset,Technology,Phones,832.24,-91.5,13.33,9
OFF-BI-10001575,GBC Linen Binding Covers,Office Supplies,Binders,207.57,-82.41,55.0,6
OFF-BI-10002133,"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",Office Supplies,Binders,834.6,-82.18,51.25,8
FUR-BO-10003433,Sauder Cornerstone Collection Library,Furniture,Bookcases,322.19,-81.17,23.33,3
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,2970.06,-78.64,11.0,10
FUR-FU-10003919,Eldon Executive Woodline II Cherry Finish Desk Accessories,Furniture,Furnishings,98.14,-78.51,60.0,2
FUR-BO-10004690,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,Furniture,Bookcases,1072.34,-78.36,15.0,2
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,Bookcases,1909.82,-78.19,14.57,7
OFF-ST-10001370,Sensible Storage WireTech Storage Systems,Office Supplies,Storage,2484.3,-78.08,7.5,8
OFF-AP-10002867,Fellowes Command Center 5-outlet power strip,Office Supplies,Appliances,664.83,-78.02,25.0,4
OFF-ST-10001511,Space Solutions Commercial Steel Shelving,Office Supplies,Storage,1952.43,-74.35,2.86,7
TEC-MA-10002694,Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner,Technology,Machines,101.99,-71.4,70.0,1
FUR-BO-10004360,Rush Hierlooms Collection Rich Wood Bookcases,Furniture,Bookcases,489.38,-70.83,16.0,2
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,197.17,-69.57,52.86,7
OFF-ST-10001128,"Carina Mini System Audio Rack, Model AR050B",Office Supplies,Storage,2730.11,-68.81,6.67,6
OFF-BI-10003166,GBC Plasticlear Binding Covers,Office Supplies,Binders,68.88,-68.42,72.86,7
FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,Bookcases,1912.31,-68.11,20.0,5
FUR-TA-10004915,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",Furniture,Tables,5801.82,-66.83,18.0,5
OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage,953.82,-63.59,10.0,6
TEC-PH-10003800,i.Sound Portable Power - 8000 mAh,Technology,Phones,413.32,-58.82,12.0,5
TEC-AC-10004855,V7 USB Numeric Keypad,Technology,Accessories,461.87,-58.78,15.0,4
OFF-ST-10000934,"Contico 72""H Heavy-Duty Storage System",Office Supplies,Storage,598.31,-57.37,8.0,5
OFF-SU-10000157,Compact Automatic Electric Letter Opener,Office Supplies,Supplies,2982.75,-57.27,5.0,8
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases,1263.96,-56.32,21.25,4
OFF-ST-10000676,Fellowes Econo/Stor Drawers,Office Supplies,Storage,581.58,-56.22,10.0,2
TEC-PH-10004188,OtterBox Commuter Series Case - Samsung Galaxy S4,Technology,Phones,384.85,-55.98,15.0,4
TEC-MA-10002178,Cisco CP-7937G Unified IP Conference Station Phone,Technology,Machines,1391.4,-55.66,50.0,2
OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,872.26,-52.57,8.57,7
TEC-PH-10000127,iOttie XL Car Mount,Technology,Phones,223.89,-50.37,20.0,2
TEC-PH-10000141,Clearsounds A400,Technology,Phones,488.33,-48.83,33.33,3
FUR-CH-10002126,Hon Deluxe Fabric Upholstered Stacking Chairs,Furniture,Chairs,2586.19,-48.8,27.5,4
FUR-FU-10004622,Eldon Advantage Foldable Chair Mats for Low Pile Carpets,Furniture,Furnishings,379.4,-48.78,20.0,3
OFF-ST-10002301,Tennsco Commercial Shelving,Office Supplies,Storage,374.26,-48.61,11.11,9
TEC-AC-10004227,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,329.95,-48.58,14.29,7
OFF-ST-10003994,"Belkin 19"" Center-Weighted Shelf, Gray",Office Supplies,Storage,849.31,-47.18,10.0,4
FUR-FU-10002703,"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",Furniture,Furnishings,180.46,-46.4,30.0,2
OFF-ST-10002182,"Iris 3-Drawer Stacking Bin, Black",Office Supplies,Storage,284.1,-43.45,13.33,3
FUR-FU-10004597,Eldon Cleatmat Chair Mats for Medium Pile Carpets,Furniture,Furnishings,344.1,-42.18,30.0,4
FUR-CH-10002372,Office Star - Ergonomically Designed Knee Chair,Furniture,Chairs,1311.88,-42.11,17.14,7
FUR-FU-10003394,"Tenex ""The Solids"" Textured Chair Mats",Furniture,Furnishings,1469.16,-40.58,20.0,7
FUR-FU-10003247,36X48 HARDFLOOR CHAIRMAT,Furniture,Furnishings,369.25,-40.49,23.33,6
OFF-BI-10000773,Insertable Tab Post Binder Dividers,Office Supplies,Binders,66.57,-39.7,57.5,8
FUR-TA-10001866,Bevis Round Conference Room Tables and Bases,Furniture,Tables,519.94,-39.44,25.0,2
TEC-PH-10004897,Mediabridge Sport Armband iPhone 5s,Technology,Phones,257.74,-38.96,14.29,7
OFF-AP-10004136,Kensington 6 Outlet SmartSocket Surge Protector,Office Supplies,Appliances,147.53,-36.88,40.0,2
OFF-ST-10002756,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Office Supplies,Storage,4384.04,-36.53,2.86,7
FUR-CH-10001545,Hon Comfortask Task/Swivel Chairs,Furniture,Chairs,1686.9,-36.47,15.0,6
OFF-ST-10002485,Rogers Deluxe File Chest,Office Supplies,Storage,444.0,-34.73,10.0,8
FUR-CH-10003968,Novimex Turbo Task Chair,Furniture,Chairs,1341.52,-32.65,13.33,6
TEC-PH-10003187,Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,Technology,Phones,147.93,-31.98,20.0,4
TEC-PH-10000562,Samsung Convoy 3,Technology,Phones,688.14,-31.08,20.0,2
TEC-PH-10004833,Macally Suction Cup Mount,Technology,Phones,279.63,-31.07,15.0,4
OFF-ST-10001469,Fellowes Bankers Box Recycled Super Stor/Drawer,Office Supplies,Storage,1187.56,-30.23,8.57,7
OFF-BI-10003676,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Office Supplies,Binders,258.72,-27.17,49.17,12
FUR-BO-10001608,"Hon Metal Bookcases, Black",Furniture,Bookcases,1570.08,-26.97,24.4,5
OFF-ST-10000642,"Tennsco Lockers, Gray",Office Supplies,Storage,402.82,-26.43,10.0,6
OFF-ST-10004337,"SAFCO Commercial Wire Shelving, 72h",Office Supplies,Storage,1445.26,-24.5,4.0,5
TEC-PH-10001448,Anker Astro 15000mAh USB Portable Charger,Technology,Phones,599.88,-24.0,8.0,5
OFF-BI-10004099,GBC VeloBinder Strips,Office Supplies,Binders,52.99,-23.81,55.0,4
OFF-BI-10004465,Avery Durable Slant Ring Binders,Office Supplies,Binders,51.48,-23.76,62.0,5
TEC-MA-10003356,Panasonic KX MC6040 Color Laser Multifunction Printer,Technology,Machines,1619.82,-22.5,35.0,2
FUR-TA-10004086,KI Adjustable-Height Table,Furniture,Tables,1788.38,-22.35,25.71,7
OFF-SU-10003567,Stiletto Hand Letter Openers,Office Supplies,Supplies,136.32,-21.98,15.0,4
TEC-MA-10004086,Plantronics Single Ear Headset,Technology,Machines,29.93,-21.95,70.0,1
FUR-CH-10003535,"Global Armless Task Chair, Royal Blue",Furniture,Chairs,1396.44,-20.73,17.5,8
TEC-MA-10000752,Texas Instrument TI-15 Fraction Calculator,Technology,Machines,41.91,-20.52,45.0,2
TEC-PH-10000148,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,Technology,Phones,119.51,-20.52,16.0,5
OFF-ST-10003641,Space Solutions Industrial Galvanized Steel Shelving.,Office Supplies,Storage,520.08,-20.49,6.67,3
OFF-AP-10004980,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,Office Supplies,Appliances,303.36,-20.48,25.0,4
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,Bookcases,1426.89,-20.29,23.0,9
OFF-BI-10003196,Accohide Poly Flexible Ring Binders,Office Supplies,Binders,43.76,-19.82,53.75,8
OFF-BI-10001982,Wilson Jones Custom Binder Spines & Labels,Office Supplies,Binders,41.34,-19.69,62.86,7
TEC-AC-10004396,Logitech Keyboard K120,Technology,Accessories,174.24,-19.6,20.0,3
TEC-MA-10003230,Okidata C610n Printer,Technology,Machines,1362.9,-19.47,30.0,1
OFF-BI-10003719,Large Capacity Hanging Post Binders,Office Supplies,Binders,276.94,-19.46,46.0,5
OFF-BI-10004781,GBC Wire Binding Strips,Office Supplies,Binders,212.66,-18.41,50.0,5
OFF-ST-10002583,Fellowes Neat Ideas Storage Cubes,Office Supplies,Storage,480.7,-18.19,8.57,7
TEC-PH-10002844,Speck Products Candyshell Flip Case,Technology,Phones,188.95,-18.19,30.0,4
FUR-TA-10003837,Anderson Hickey Conga Table Tops & Accessories,Furniture,Tables,51.78,-17.51,30.0,2
OFF-AP-10002439,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,Office Supplies,Appliances,823.25,-17.03,33.33,3
FUR-FU-10002553,"Electrix Incandescent Magnifying Lamp, Black",Furniture,Furnishings,117.28,-16.49,40.0,2
OFF-BI-10002813,Avery Reinforcements for Hole-Punch Pages,Office Supplies,Binders,28.51,-16.14,57.5,8
OFF-BI-10002827,Avery Durable Poly Binders,Office Supplies,Binders,82.95,-15.59,53.33,6
TEC-PH-10000169,ARKON Windshield Dashboard Air Vent Car Mount Holder,Technology,Phones,216.96,-15.59,10.0,4
TEC-PH-10004522,Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black,Technology,Phones,467.92,-14.62,20.0,3
OFF-BI-10003694,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",Office Supplies,Binders,137.81,-14.41,38.33,6
OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,63.63,-13.91,56.25,8
OFF-BI-10004140,Avery Non-Stick Binders,Office Supplies,Binders,75.43,-13.47,46.15,13
TEC-PH-10003092,Motorola L804,Technology,Phones,607.07,-13.34,26.67,6
OFF-BI-10000285,XtraLife ClearVue Slant-D Ring Binders by Cardinal,Office Supplies,Binders,72.91,-13.33,50.0,5
OFF-BI-10002414,GBC ProClick Spines for 32-Hole Punch,Office Supplies,Binders,66.41,-13.28,44.0,5
OFF-SU-10004498,Martin-Yale Premier Letter Opener,Office Supplies,Supplies,236.99,-12.88,8.57,7
OFF-ST-10000563,Fellowes Bankers Box Stor/Drawer Steel Plus,Office Supplies,Storage,1426.31,-12.79,10.0,12
FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",Furniture,Bookcases,119.83,-12.69,15.0,1
OFF-BI-10002194,Cardinal Hold-It CD Pocket,Office Supplies,Binders,38.3,-12.45,50.0,4
OFF-BI-10001679,GBC Instant Index System for Binding Systems,Office Supplies,Binders,71.93,-12.43,48.0,5
FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,540.8,-12.29,17.5,4
FUR-TA-10001520,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Furniture,Tables,2298.11,-12.13,17.78,9
TEC-AC-10001314,Case Logic 2.4GHz Wireless Keyboard,Technology,Accessories,1229.75,-12.0,7.5,8
TEC-PH-10002583,iOttie HLCRIO102 Car Mount,Technology,Phones,215.89,-11.99,16.0,5
TEC-PH-10004774,Gear Head AU3700S Headset,Technology,Phones,189.65,-11.95,6.67,3
OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,102.62,-11.88,45.0,12
OFF-BI-10004817,GBC Personal VeloBind Strips,Office Supplies,Binders,156.94,-11.26,42.86,7
