product_id,product_name,total_sales,cumulative_sales,cumulative_sales_pct,product_rank,cumulative_product_pct
TEC-CO-10002095,Hewlett Packard 610 Color Digital Copier / Printer,8899.82,567129.9099999999,24.69,37,1.99
TEC-PH-10001817,Wilson Electronics DB Pro Signal Booster,8878.4,576008.3099999999,25.07,38,2.04
FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,8774.5,584782.8099999999,25.46,39,2.09
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,8665.19,593447.9999999999,25.83,40,2.15
FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,8431.0,601878.9999999999,26.2,41,2.2
FUR-TA-10001095,Chromcraft Round Conference Tables,8209.06,610088.0599999999,26.56,42,2.26
OFF-ST-10001490,"Hot File 7-Pocket, Floor Stand",8138.23,618226.2899999999,26.91,43,2.31
TEC-PH-10001530,Cisco Unified IP Phone 7945G VoIP phone,8111.14,626337.4299999999,27.27,44,2.36
OFF-BI-10003925,Fellowes PB300 Plastic Comb Binding Machine,8070.19,634407.6199999999,27.62,45,2.42
TEC-MA-10004125,Cubify CubeX 3D Printer Triple Head Print,7999.98,642407.5999999999,27.96,46,2.47
OFF-BI-10004600,Ibico Ibimaster 300 Manual Binding System,7985.38,650392.9799999999,28.31,47,2.52
FUR-CH-10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,7979.44,658372.4199999998,28.66,48,2.58
TEC-MA-10000984,Okidata MB760 Printer,7834.4,666206.8199999998,29.0,49,2.63
OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,7730.2,673937.0199999998,29.34,50,2.69
TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,7699.89,681636.9099999998,29.67,51,2.74
TEC-PH-10004165,Mitel MiVoice 5330e IP Phone,7699.72,689336.6299999998,30.01,52,2.79
FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,7582.37,696918.9999999998,30.34,53,2.85
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",7539.71,704458.7099999997,30.67,54,2.9
OFF-ST-10001780,Tennsco 16-Compartment Lockers with Coat Rack,7515.52,711974.2299999997,30.99,55,2.95
TEC-PH-10002200,Aastra 6757i CT Wireless VoIP phone,7437.89,719412.1199999998,31.32,56,3.01
FUR-TA-10003954,Hon 94000 Series Round Tables,7404.5,726816.6199999998,31.64,57,3.06
TEC-AC-10004145,Logitech diNovo Edge Keyboard,7399.7,734216.3199999997,31.96,58,3.11
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,7242.77,741459.0899999997,32.28,59,3.17
TEC-PH-10000560,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),7139.8,748598.8899999998,32.59,60,3.22
TEC-MA-10000045,Zebra ZM400 Thermal Label Printer,6965.7,755564.5899999997,32.89,61,3.28
FUR-TA-10002958,"Bevis Oval Conference Table, Walnut",6942.07,762506.6599999997,33.19,62,3.33
FUR-CH-10002335,Hon GuestStacker Chair,6936.1,769442.7599999997,33.49,63,3.38
TEC-PH-10001795,ClearOne CHATAttach 160 - speaker phone,6935.86,776378.6199999996,33.8,64,3.44
OFF-AP-10002651,Hoover Upright Vacuum With Dirt Cup,6832.91,783211.5299999997,34.09,65,3.49
OFF-ST-10003470,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",6819.31,790030.8399999997,34.39,66,3.54
OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,6785.14,796815.9799999997,34.69,67,3.6
FUR-TA-10003569,Bretford CR8500 Series Meeting Room Furniture,6776.56,803592.5399999998,34.98,68,3.65
FUR-CH-10004997,Hon Every-Day Series Multi-Task Chairs,6748.48,810341.0199999998,35.28,69,3.71
OFF-ST-10001496,Standard Rollaway File with Lock,6594.95,816935.9699999997,35.56,70,3.76
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,6584.64,823520.6099999998,35.85,71,3.81
OFF-ST-10002615,"Dual Level, Single-Width Filing Carts",6574.54,830095.1499999998,36.14,72,3.87
FUR-TA-10001950,Balt Solid Wood Round Tables,6518.75,836613.8999999998,36.42,73,3.92
FUR-CH-10002320,Hon Pagoda Stacking Chairs,6483.8,843097.6999999998,36.7,74,3.97
FUR-CH-10004495,"Global Leather and Oak Executive Chair, Black",6410.87,849508.5699999998,36.98,75,4.03
TEC-CO-10004115,Sharp AL-1530CS Digital Copier,6399.87,855908.4399999998,37.26,76,4.08
TEC-PH-10000895,Polycom VVX 310 VoIP phone,6227.65,862136.0899999999,37.53,77,4.14
TEC-PH-10002584,Samsung Galaxy S4,6134.7,868270.7899999998,37.8,78,4.19
TEC-PH-10002624,Samsung Galaxy S4 Mini,6109.87,874380.6599999998,38.06,79,4.24
FUR-CH-10000309,Global Comet Stacking Arm Chair,6084.14,880464.7999999998,38.33,80,4.3
FUR-CH-10000785,Global Ergonomic Managers Chair,6008.54,886473.3399999999,38.59,81,4.35
TEC-CO-10002313,Canon PC1080F Personal Copier,5999.9,892473.2399999999,38.85,82,4.4
FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",5989.2,898462.4399999998,39.11,83,4.46
FUR-TA-10004575,Hon 5100 Series Wood Tables,5965.09,904427.5299999998,39.37,84,4.51
OFF-AP-10000275,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",5906.52,910334.0499999998,39.63,85,4.56
FUR-CH-10003746,Hon 4070 Series Pagoda Round Back Stacking Chairs,5906.03,916240.0799999998,39.89,86,4.62
FUR-CH-10001394,Global Leather Executive Chair,5861.53,922101.6099999999,40.14,87,4.67
FUR-TA-10004915,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",5801.82,927903.4299999998,40.39,88,4.73
TEC-MA-10004002,Zebra GX420t Direct Thermal/Thermal Transfer Printer,5787.36,933690.7899999998,40.64,89,4.78
OFF-ST-10001526,Iceberg Mobile Mega Data/Printer Cart ,5751.77,939442.5599999998,40.9,90,4.83
FUR-CH-10000595,Safco Contoured Stacking Chairs,5697.76,945140.3199999998,41.14,91,4.89
TEC-CO-10001766,Canon PC940 Copier,5669.87,950810.1899999998,41.39,92,4.94
FUR-TA-10004256,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,5634.9,956445.0899999999,41.64,93,4.99
TEC-AC-10003870,Logitech Z-906 Speaker sys - home theater - 5.1-CH,5609.83,962054.9199999998,41.88,94,5.05
OFF-ST-10000142,Deluxe Rollaway Locking File with Drawer,5572.79,967627.7099999998,42.12,95,5.1
OFF-BI-10004632,GBC Binding covers,5535.59,973163.2999999998,42.36,96,5.16
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",5492.89,978656.1899999998,42.6,97,5.21
FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",5436.16,984092.3499999999,42.84,98,5.26
FUR-CH-10002073,Hon Olson Stacker Chairs,5427.99,989520.3399999999,43.08,99,5.32
TEC-PH-10004586,Wilson SignalBoost 841262 DB PRO Amplifier Kit,5327.26,994847.5999999999,43.31,100,5.37
FUR-CH-10000988,Hon Olson Stacker Stools,5294.46,1000142.0599999998,43.54,101,5.42
TEC-PH-10004977,GE 30524EE4,5291.73,1005433.7899999998,43.77,102,5.48
FUR-CH-10003312,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,5282.42,1010716.2099999998,44.0,103,5.53
FUR-CH-10004675,"Lifetime Advantage Folding Chairs, 4/Carton",5212.11,1015928.3199999998,44.22,104,5.59
TEC-MA-10001148,Okidata MB491 Multifunction Printer,5204.24,1021132.5599999998,44.45,105,5.64
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5184.08,1026316.6399999998,44.68,106,5.69
TEC-AC-10001838,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,5119.74,1031436.3799999998,44.9,107,5.75
FUR-TA-10001932,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",5098.18,1036534.5599999998,45.12,108,5.8
OFF-AP-10003849,Hoover Shoulder Vac Commercial Portable Vacuum,5009.48,1041544.0399999998,45.34,109,5.85
TEC-PH-10000984,Panasonic KX-TG9471B,4978.15,1046522.1899999998,45.56,110,5.91
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,4952.67,1051474.8599999999,45.77,111,5.96
TEC-PH-10001363,Apple iPhone 5S,4901.91,1056376.7699999998,45.99,112,6.02
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,4886.46,1061263.2299999997,46.2,113,6.07
TEC-CO-10004202,Brother DCP1000 Digital 3 in 1 Multifunction Machine,4859.84,1066123.0699999998,46.41,114,6.12
OFF-ST-10001932,Fellowes Staxonsteel Drawer Files,4829.25,1070952.3199999998,46.62,115,6.18
OFF-ST-10002011,Smead Adjustable Mobile File Trolley with Lockable Top,4778.77,1075731.0899999999,46.83,116,6.23
FUR-CH-10000513,High-Back Leather Manager's Chair,4770.63,1080501.7199999997,47.04,117,6.28
OFF-ST-10002743,SAFCO Boltless Steel Shelving,4704.7,1085206.4199999997,47.24,118,6.34
FUR-CH-10000847,Global Executive Mid-Back Manager's Chair,4626.58,1089832.9999999998,47.44,119,6.39
FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,4619.99,1094452.9899999998,47.64,120,6.44
TEC-PH-10001494,Polycom CX600 IP Phone VoIP phone,4619.23,1099072.2199999997,47.84,121,6.5
OFF-ST-10003306,Letter Size Cart,4600.09,1103672.3099999998,48.04,122,6.55
FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",4544.93,1108217.2399999998,48.24,123,6.61
OFF-ST-10001809,Fellowes Officeware Wire Shelving,4509.47,1112726.7099999997,48.44,124,6.66
OFF-ST-10000689,"Fellowes Strictly Business Drawer File, Letter/Legal Size",4479.03,1117205.7399999998,48.63,125,6.71
OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,4476.96,1121682.6999999997,48.83,126,6.77
FUR-TA-10004154,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",4446.18,1126128.8799999997,49.02,127,6.82
TEC-PH-10003012,Nortel Meridian M3904 Professional Digital phone,4434.91,1130563.7899999996,49.21,128,6.87
FUR-CH-10003981,Global Commerce Series Low-Back Swivel/Tilt Chairs,4420.06,1134983.8499999996,49.41,129,6.93
TEC-CO-10001571,Sharp 1540cs Digital Laser Copier,4399.92,1139383.7699999996,49.6,130,6.98
OFF-ST-10002756,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",4384.04,1143767.8099999996,49.79,131,7.04
FUR-TA-10000617,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",4334.83,1148102.6399999997,49.98,132,7.09
FUR-TA-10003748,Bevis 36 x 72 Conference Tables,4332.25,1152434.8899999997,50.17,133,7.14
OFF-BI-10003091,GBC DocuBind TL200 Manual Binding Machine,4322.81,1156757.6999999997,50.36,134,7.2
FUR-TA-10003238,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",4297.64,1161055.3399999996,50.54,135,7.25
TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,4268.0,1165323.3399999996,50.73,136,7.3
TEC-PH-10004094,Motorola L703CM,4211.73,1169535.0699999996,50.91,137,7.36
OFF-BI-10004390,GBC DocuBind 200 Manual Binding Machine,4209.8,1173744.8699999996,51.09,138,7.41
TEC-CO-10000971,Hewlett Packard 310 Color Digital Copier,4199.86,1177944.7299999997,51.28,139,7.47
OFF-ST-10002574,"SAFCO Commercial Wire Shelving, Black",4199.46,1182144.1899999997,51.46,140,7.52
FUR-CH-10004983,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,4185.48,1186329.6699999997,51.64,141,7.57
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,4181.75,1190511.4199999997,51.82,142,7.63
TEC-PH-10002496,Cisco SPA301,4180.53,1194691.9499999997,52.01,143,7.68
FUR-CH-10003774,"Global Wood Trimmed Manager's Task Chair, Khaki",4166.88,1198858.8299999996,52.19,144,7.73
TEC-CO-10001943,Canon PC-428 Personal Copier,4119.79,1202978.6199999996,52.37,145,7.79
TEC-PH-10004539,Wireless Extenders zBoost YX545 SOHO Signal Booster,4044.39,1207023.0099999995,52.54,146,7.84
OFF-ST-10000046,Fellowes Super Stor/Drawer Files,4006.44,1211029.4499999995,52.72,147,7.89
TEC-PH-10000730,Samsung Galaxy S4 Active,3999.92,1215029.3699999994,52.89,148,7.95
TEC-AC-10002842,WD My Passport Ultra 2TB Portable External Hard Drive,3998.4,1219027.7699999993,53.07,149,8.0
TEC-MA-10002927,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98,1223019.7499999993,53.24,150,8.06
FUR-CH-10001708,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,3989.73,1227009.4799999993,53.41,151,8.11
TEC-PH-10001578,Polycom SoundStation2 EX Conference phone,3968.51,1230977.9899999993,53.59,152,8.16
FUR-TA-10001768,Hon Racetrack Conference Tables,3963.9,1234941.8899999992,53.76,153,8.22
TEC-CO-10003236,Canon Image Class D660 Copier,3959.93,1238901.8199999991,53.93,154,8.27
FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",3955.68,1242857.499999999,54.1,155,8.32
OFF-ST-10003816,Fellowes High-Stak Drawer Files,3946.66,1246804.159999999,54.27,156,8.38
FUR-FU-10000576,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,3861.06,1250665.219999999,54.44,157,8.43
OFF-AP-10003057,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,3855.18,1254520.399999999,54.61,158,8.49
TEC-PH-10002549,Polycom SoundPoint IP 450 VoIP phone,3839.62,1258360.019999999,54.78,159,8.54
TEC-PH-10002834,Google Nexus 5,3815.79,1262175.8099999991,54.94,160,8.59
FUR-TA-10004619,Hon Non-Folding Utility Tables,3775.65,1265951.459999999,55.11,161,8.65
TEC-AC-10002637,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),3743.79,1269695.249999999,55.27,162,8.7
FUR-TA-10001307,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",3739.11,1273434.3599999992,55.43,163,8.75
TEC-PH-10003645,Aastra 57i VoIP phone,3684.71,1277119.0699999991,55.59,164,8.81
FUR-CH-10003298,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",3680.54,1280799.6099999992,55.75,165,8.86
TEC-PH-10002415,Polycom VoiceStation 500 Conference phone,3657.38,1284456.989999999,55.91,166,8.92
FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",3641.27,1288098.259999999,56.07,167,8.97
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",3626.01,1291724.269999999,56.23,168,9.02
TEC-PH-10004447,Toshiba IPT2010-SD IP Telephone,3613.74,1295338.009999999,56.39,169,9.08
FUR-TA-10001771,"Bush Cubix Conference Tables, Fully Assembled",3603.29,1298941.299999999,56.54,170,9.13
TEC-PH-10001557,Pyle PMP37LED,3590.03,1302531.3299999991,56.7,171,9.18
FUR-TA-10003392,Global Adaptabilities Conference Tables,3540.35,1306071.6799999992,56.85,172,9.24
OFF-ST-10003805,"24 Capacity Maxi Data Binder Racks, Pearl",3537.24,1309608.9199999992,57.01,173,9.29
FUR-CH-10000155,Global Comet Stacking Armless Chair,3528.79,1313137.7099999993,57.16,174,9.34
OFF-AP-10000828,Avanti 4.4 Cu. Ft. Refrigerator,3511.01,1316648.7199999993,57.32,175,9.4
FUR-TA-10002645,Hon Rectangular Conference Tables,3481.51,1320130.2299999993,57.47,176,9.45
FUR-TA-10002530,"Iceberg OfficeWorks 42"" Round Tables",3457.44,1323587.6699999992,57.62,177,9.51
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",3447.84,1327035.5099999993,57.77,178,9.56
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,3420.77,1330456.2799999993,57.92,179,9.61
TEC-PH-10003505,Geemarc AmpliPOWER60,3415.04,1333871.3199999994,58.07,180,9.67
TEC-MA-10003673,Hewlett-Packard Desktjet 6988DT Refurbished Printer,3404.5,1337275.8199999994,58.21,181,9.72
FUR-TA-10001705,Bush Advantage Collection Round Conference Table,3401.6,1340677.4199999995,58.36,182,9.77
OFF-ST-10000025,Fellowes Stor/Drawer Steel Plus Storage Drawers,3397.31,1344074.7299999995,58.51,183,9.83
FUR-TA-10000688,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",3354.89,1347429.6199999994,58.66,184,9.88
OFF-LA-10003930,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",3322.88,1350752.4999999993,58.8,185,9.94
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",3317.72,1354070.2199999993,58.94,186,9.99
FUR-FU-10001468,Tenex Antistatic Computer Chair Mats,3317.01,1357387.2299999993,59.09,187,10.04
FUR-TA-10004534,Bevis 44 x 96 Conference Tables,3253.22,1360640.4499999993,59.23,188,10.1
OFF-BI-10004318,Ibico EB-19 Dual Function Manual Binding System,3234.91,1363875.3599999992,59.37,189,10.15
OFF-BI-10004584,GBC ProClick 150 Presentation Binding System,3223.0,1367098.3599999992,59.51,190,10.2
TEC-MA-10001972,Okidata C331dn Printer,3210.8,1370309.1599999992,59.65,191,10.26
OFF-ST-10001097,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,3178.13,1373487.289999999,59.79,192,10.31
TEC-PH-10002310,Panasonic KX T7731-B Digital phone,3168.61,1376655.8999999992,59.93,193,10.37
TEC-PH-10002103,Jabra SPEAK 410,3158.06,1379813.9599999993,60.07,194,10.42
FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",3150.58,1382964.5399999993,60.2,195,10.47
FUR-TA-10003715,Hon 2111 Invitation Series Corner Table,3140.55,1386105.0899999994,60.34,196,10.53
OFF-ST-10000585,Economy Rollaway Files,3138.8,1389243.8899999994,60.48,197,10.58
TEC-PH-10003691,BlackBerry Q10,3099.35,1392343.2399999995,60.61,198,10.63
TEC-PH-10003072,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,3059.8,1395403.0399999996,60.74,199,10.69
OFF-AP-10003590,Hoover WindTunnel Plus Canister Vacuum,3051.3,1398454.3399999996,60.88,200,10.74
TEC-PH-10001336,Digium D40 VoIP phone,3044.16,1401498.4999999995,61.01,201,10.79
TEC-MA-10000010,Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,3040.0,1404538.4999999995,61.14,202,10.85
OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",3039.5,1407577.9999999995,61.27,203,10.9
OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,3035.21,1410613.2099999995,61.41,204,10.96
OFF-ST-10000736,Carina Double Wide Media Storage Towers in Natural & Black,3028.65,1413641.8599999994,61.54,205,11.01
OFF-SU-10000157,Compact Automatic Electric Letter Opener,2982.75,1416624.6099999994,61.67,206,11.06
FUR-TA-10001086,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",2979.0,1419603.6099999994,61.8,207,11.12
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,2970.06,1422573.6699999995,61.93,208,11.17
FUR-CH-10004853,"Global Manager's Adjustable Task Chair, Storm",2959.21,1425532.8799999994,62.06,209,11.22
OFF-BI-10004519,GBC DocuBind P100 Manual Binding Machine,2954.44,1428487.3199999994,62.18,210,11.28
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,2946.37,1431433.6899999995,62.31,211,11.33
OFF-AP-10002534,3.6 Cubic Foot Counter Height Office Refrigerator,2946.2,1434379.8899999994,62.44,212,11.39
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,2913.91,1437293.7999999993,62.57,213,11.44
TEC-PH-10002922,ShoreTel ShorePhone IP 230 VoIP phone,2906.63,1440200.4299999992,62.69,214,11.49
FUR-BO-10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,2904.16,1443104.5899999992,62.82,215,11.55
OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,2883.28,1445987.8699999992,62.95,216,11.6
TEC-AC-10002001,Logitech Wireless Gaming Headset G930,2879.82,1448867.6899999992,63.07,217,11.65
TEC-PH-10001760,Bose SoundLink Bluetooth Speaker,2865.6,1451733.2899999993,63.2,218,11.71
FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",2863.8,1454597.0899999994,63.32,219,11.76
FUR-TA-10003008,"Lesro Round Back Collection Coffee Table, End Table",2847.78,1457444.8699999994,63.44,220,11.82
OFF-SU-10000646,Premier Automatic Letter Opener,2836.37,1460281.2399999995,63.57,221,11.87
TEC-AC-10001908,Logitech Wireless Headset h800,2799.72,1463080.9599999995,63.69,222,11.92
OFF-PA-10000994,Xerox 1915,2789.01,1465869.9699999995,63.81,223,11.98
FUR-TA-10001039,KI Adjustable-Height Table,2764.26,1468634.2299999995,63.93,224,12.03
FUR-FU-10004306,Electrix Halogen Magnifier Lamp,2759.06,1471393.2899999996,64.05,225,12.08
TEC-AC-10004666,Maxell iVDR EX 500GB Cartridge,2755.4,1474148.6899999995,64.17,226,12.14
TEC-PH-10000441,VTech DS6151,2746.58,1476895.2699999996,64.29,227,12.19
TEC-PH-10002555,Nortel Meridian M5316 Digital phone,2744.87,1479640.1399999997,64.41,228,12.24
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,2740.2,1482380.3399999996,64.53,229,12.3
OFF-ST-10001128,"Carina Mini System Audio Rack, Model AR050B",2730.11,1485110.4499999997,64.65,230,12.35
OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",2706.08,1487816.5299999998,64.77,231,12.41
FUR-CH-10002084,Hon Mobius Operator's Chair,2705.78,1490522.3099999998,64.88,232,12.46
FUR-FU-10002937,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",2699.06,1493221.3699999999,65.0,233,12.51
FUR-TA-10002041,"Bevis Round Conference Table Top, X-Base",2671.42,1495892.7899999998,65.12,234,12.57
TEC-AC-10002253,Imation Bio 8GB USB Flash Drive Imation Corp,2659.84,1498552.63,65.23,235,12.62
FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,2647.81,1501200.44,65.35,236,12.67
TEC-PH-10004667,Cisco 8x8 Inc. 6753i IP Business Phone System,2645.8,1503846.24,65.46,237,12.73
OFF-SU-10003505,Premier Electric Letter Opener,2641.61,1506487.85,65.58,238,12.78
TEC-PH-10000526,Vtech CS6719,2630.13,1509117.98,65.69,239,12.84
TEC-AC-10003911,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,2623.84,1511741.82,65.81,240,12.89
TEC-AC-10004171,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,2619.74,1514361.56,65.92,241,12.94
OFF-ST-10000060,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,2612.2,1516973.76,66.04,242,13.0
TEC-PH-10001128,Motorola Droid Maxx,2609.83,1519583.59,66.15,243,13.05
FUR-CH-10002126,Hon Deluxe Fabric Upholstered Stacking Chairs,2586.19,1522169.78,66.26,244,13.1
